Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.297852677, 1.65202063759, 0.00457658072348, 2.320749562800817e-06, 4.470450811704014, 0.0205801047562, 0.262747886942, 0.726342356893, 1.68817663242, 5.89293215381
beta, 1.7756710083, 1.29792721442, 0.00314025086555, 2.7047575519301148e-05, 4.298706377668415, 0.149805266218, 0.829015172198, 1.47970778968, 2.40709696324, 5.06314333831
mu, 0.211787199105, 0.122521715763, 0.000219685133658, 0.0205181184494444, 0.4514805426696209, 0.0432522626438, 0.121715806226, 0.18869748862, 0.277007043887, 0.510903502517
