Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.29572247479, 1.64547711624, 0.00351796116646, 2.1039705484504623e-06, 4.465557901777073, 0.0207927917896, 0.263126477531, 0.724546140328, 1.68810762357, 5.87880641344
beta, 1.77274612852, 1.29794214411, 0.00236876009212, 1.5261802350119424e-05, 4.291338395561256, 0.149437209727, 0.826063789455, 1.476236568, 2.40391566483, 5.05672033465
mu, 0.211461794266, 0.12252655599, 0.000193686286655, 0.020249639168288036, 0.4507636890297387, 0.0432197403464, 0.121446952109, 0.188205233254, 0.27654753042, 0.51020924589
