Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.191849926508, 0.107687424659, 0.00103328044828, 0.03592487521979601, 0.4074622056451346, 0.0515891300875, 0.116031371643, 0.170381635667, 0.242425880008, 0.459780353094
beta, 0.405209187591, 0.191930004165, 0.00185030864446, 0.10601189856909587, 0.7708596044937516, 0.145837830531, 0.274562205881, 0.369507632974, 0.49441124493, 0.865069983791
mu, 0.0106796175891, 0.00322133701105, 1.93498448197e-05, 0.00465401877331989, 0.01697011516507193, 0.00530937078596, 0.00837122451279, 0.0103506802536, 0.0126288907011, 0.0179098542261
