Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.191770752245, 0.106973363884, 0.000327672578639, 0.03335923909010724, 0.40272868913976495, 0.0526113967815, 0.116498407694, 0.169615829594, 0.241777274504, 0.458795055389
beta, 0.404676734625, 0.194421411083, 0.000675546289565, 0.10911434982985618, 0.7670668805399863, 0.148456369761, 0.275199079198, 0.369370141985, 0.4930427132, 0.859767073685
mu, 0.0106614441543, 0.00320848582658, 6.62668846828e-06, 0.004791288952171157, 0.0170343402396156, 0.00532048816834, 0.00836078838936, 0.0103425900727, 0.012610257301, 0.0178161340725
