Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.191571651854, 0.107286190866, 0.000443215590966, 0.03351879283343068, 0.403105937970067, 0.0525400684214, 0.116437384788, 0.169277527033, 0.241362952086, 0.458520642016
beta, 0.404912537828, 0.198327927345, 0.00109184249473, 0.10351105812154363, 0.7634702749418016, 0.148316667386, 0.274979467281, 0.369006479452, 0.49254889218, 0.86152499363
mu, 0.0106608353872, 0.00321180260206, 7.90246845923e-06, 0.004778763419393093, 0.0170349061489748, 0.00531398361649, 0.0083546078393, 0.0103469419113, 0.0126106790568, 0.017841062133
