Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 11.7435941349, 2.91913322016, 0.0124027667615, 6.372822998720157, 17.50865389787019, 6.92578512212, 9.65085550066, 11.4545712147, 13.4990368282, 18.2927625771
beta, 32.3066402934, 5.63946805881, 0.0234084657524, 21.351866616376554, 43.258571493454724, 22.197972896, 28.3591486556, 31.9893714454, 35.894600485, 44.2361231767
mu, 0.0316492912323, 0.00419003896492, 1.32160075205e-05, 0.023513905700389734, 0.03987117939692303, 0.0239685538185, 0.0287329731252, 0.0314647978465, 0.0343580338942, 0.040385663581
