Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 11.7433913553, 2.91902468881, 0.0106526941794, 6.3841536010923425, 17.51246775716482, 6.93453984189, 9.64587256084, 11.4531420576, 13.4967955747, 18.3043435591
beta, 32.3106606033, 5.63802245808, 0.0193541519229, 21.608278573659764, 43.4922086814781, 22.2151963137, 28.3591486556, 31.9900288404, 35.904707984, 44.2410821037
mu, 0.0316484525496, 0.00418550106548, 1.28605574217e-05, 0.023556718794584066, 0.03989890414698554, 0.0239760208937, 0.0287345033523, 0.0314647775435, 0.0343522381328, 0.0403855332299
