Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 11.748388138, 2.9196790121, 0.00796448358084, 6.4955353608210915, 17.622562703967688, 6.92509961771, 9.6545265751, 11.4574185316, 13.5036558825, 18.2920404005
beta, 32.3065759268, 5.63759597896, 0.0153760601371, 21.54421999916947, 43.460498426042314, 22.2045608904, 28.3621008754, 31.9726985031, 35.8966748947, 44.2748865673
mu, 0.0316409757056, 0.00418628141098, 9.86024100444e-06, 0.023642117813418427, 0.03996260386562609, 0.0239697583783, 0.0287261291228, 0.031447523713, 0.0343491198534, 0.0403821405246
