,date,1920 Revolution Brigades,AQI,Abu Hafs al-Masri Brigades,Al Zawahiri Loyalists,Ansar al-Din,Ansar al-Islam,Ansar al-Jihad,Ansar al-Sunna,Armed Vanguards of a Second Mohammed Army,Badr Brigades,Brigades of Iman Hassan-al-Basri,Holders of the Black Banners,Imam Hussein Brigade,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),Islamic Jihad Brigades,Islamic Movement of Iraqi Mujahidin,Jaish al-Ta'ifa al-Mansura,Junaid Jihadist Battalion,Khalid ibn Walid Brigade,Liberals of Galilee,Mahdi Army,Mujahedeen Army,Mujahedeen Brigades,Mujahedeen Corps in Iraq,Mujahedeen Group,Mujahedeen Shura Council,Omar Bin Khattab Group,Protectors of Islam Brigade,Supreme Council for Islamic Revolution in Iraq (SCIRI),Takfir wal-Hijra (Excommunication and Exodus)
0,2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2001-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2001-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2001-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2001-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2001-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2001-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2001-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2001-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2001-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2001-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2001-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2001-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2001-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2001-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2001-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2001-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2001-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2001-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2001-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2001-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2001-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2001-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2001-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2001-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2001-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2001-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2001-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2001-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2001-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2001-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2001-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2001-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2001-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2001-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2001-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2001-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2001-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2001-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2001-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2001-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2001-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2001-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2001-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2001-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2001-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2001-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2001-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2001-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2001-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2001-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2001-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2001-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2001-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2001-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2001-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2001-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2001-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2001-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2001-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2001-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2001-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2001-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2001-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2001-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2001-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2001-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2001-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2001-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2001-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2001-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2001-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2001-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2001-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2001-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2001-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2001-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2001-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2001-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2001-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2001-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2001-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2001-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2001-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2001-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2001-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2001-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2001-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2001-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2001-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2001-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2001-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2001-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2001-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2001-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2001-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2001-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2001-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2001-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2001-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2001-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2001-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2001-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2001-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2001-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2001-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2001-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2001-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2001-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2001-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2001-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2001-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2001-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2001-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2001-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2001-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2001-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2001-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2001-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2001-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2001-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2001-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2001-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2001-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2001-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2001-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2001-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2001-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2001-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2001-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2001-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2001-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2001-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2001-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2001-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2001-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2001-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2001-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2001-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2001-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2001-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2001-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2001-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2001-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2001-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2001-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2001-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2001-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2001-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2001-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2001-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2001-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2001-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2001-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2001-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2001-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2001-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2001-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2001-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2001-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2001-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2001-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2001-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2001-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2001-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2001-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2001-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2001-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2001-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2001-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2001-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2001-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2001-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
