Source,Target
Revolutionary Armed Forces of Colombia (FARC),National Liberation Army of Colombia (ELN)
Revolutionary Armed Forces of Colombia (FARC),United Self Defense Units of Colombia (AUC)
Revolutionary Armed Forces of Colombia (FARC),United Self Defense Units of Colombia (AUC)
National Liberation Army of Colombia (ELN),United Self Defense Units of Colombia (AUC)
National Liberation Army of Colombia (ELN),Popular Liberation Army (EPL)
United Self Defense Units of Colombia (AUC),United Self Defense Units of Colombia (AUC)
