gname,mu
Al-Qaeda,0.011185724574832048
Hizb-I-Islami,0.007457149716554698
Islamist Extremists,0.003728574858277349
Jaysh al-Muslimin (Army of the Muslims),0.007457149716554698
Opposition Group,0.003728574858277349
Saif-ul-Muslimeen,0.003728574858277349
Taliban,0.022371449149664095
Tela Mohammed,0.003728574858277349
