Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.717255770072, 0.663214085284, 0.00435119288266, 0.0016253768340841745, 2.0064337132317207, 0.0584627655366, 0.265567577498, 0.523388243397, 0.951372730316, 2.48605191456
beta, 3.3794041555, 2.14381972106, 0.0144676048652, 0.06288396116438816, 7.392170216981494, 0.338153121858, 1.72923469042, 3.07799272013, 4.63951217322, 8.38824422359
mu, 0.0170071811281, 0.00468866938566, 2.27004613405e-05, 0.008332318859637897, 0.026364180655918425, 0.00898241698243, 0.0136588657295, 0.0166294800855, 0.0199129231819, 0.0272880474702
