Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.720487184994, 0.658223520909, 0.00257381734037, 0.005346074398293432, 2.0008024108546625, 0.0594902905639, 0.269077348609, 0.52876287239, 0.95809770023, 2.48059792371
beta, 3.38836955695, 2.14233405333, 0.00868803463488, 0.05752907665461354, 7.37853321944413, 0.343445269724, 1.73484678574, 3.09431793303, 4.64715840316, 8.38387244993
mu, 0.0170178421701, 0.0046915920947, 1.16221416671e-05, 0.008438486122898355, 0.026445246184387455, 0.00900638464996, 0.0136828013411, 0.0166288502281, 0.0199200971776, 0.0272880474702
