Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 3.8339290417, 3.08841591155, 0.0152117951213, 0.10373286578424334, 9.81910622803322, 0.487906527905, 1.69772619084, 3.01078487379, 5.03374229191, 12.0169766659
beta, 3.93813640187, 1.9697560986, 0.00892753088391, 0.6309368687509918, 7.72463763150342, 1.07141806816, 2.4988913502, 3.61283676821, 5.04377445776, 8.61082958065
mu, 0.00573213119948, 0.00330382868086, 1.15463465445e-05, 0.0005825442194655793, 0.012173315560114075, 0.00118810594894, 0.00329783949908, 0.00512234666723, 0.00749335397213, 0.0137726662538
