Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.38755514735, 0.851355022074, 0.00614682856069, 0.9146224889077321, 4.0716430098569845, 1.06037524973, 1.77718765256, 2.27204063362, 2.86318221045, 4.38432737651
beta, 17.424929786, 4.24743873685, 0.0299402732608, 9.509734232643694, 25.8627299710688, 10.0624528805, 14.4322320146, 17.0996803991, 20.0913828046, 26.5323153283
mu, 0.0612964605923, 0.00598092708258, 3.62621688891e-05, 0.0496468076343605, 0.0730173041626714, 0.0500135334789, 0.0571701654838, 0.0611564262124, 0.0652299990182, 0.0734726339066
