Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.37977619529, 0.844233741423, 0.00261138353716, 0.9306634424843299, 4.07704897701013, 1.06641696793, 1.7713241021, 2.2670964587, 2.86062002384, 4.35050223812
beta, 17.3841015978, 4.20998198917, 0.012091692944, 9.644491563198642, 25.88756454096964, 10.0855945999, 14.3964169496, 17.0660624377, 20.030000553, 26.5091703426
mu, 0.0613018749802, 0.00596306732249, 1.49970746013e-05, 0.049675223352488904, 0.07302414943485075, 0.0501476747861, 0.0571706488071, 0.0611139631794, 0.0652096535916, 0.0735682194736
