Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.38157955161, 0.845448064979, 0.00390085096461, 0.899818838331804, 4.051149544367611, 1.06710401909, 1.77506682087, 2.26569341344, 2.85838817814, 4.36513564773
beta, 17.3776878672, 4.20164099133, 0.0188717687532, 9.501281593489527, 25.706199807492055, 10.0888700505, 14.4087382534, 17.0518395969, 20.020955822, 26.4628189241
mu, 0.0613057945508, 0.00596157835483, 2.28166989369e-05, 0.04958825899964835, 0.07287367108838, 0.0501415664506, 0.0571632062281, 0.0611509756163, 0.0652196002727, 0.0734832887708
