Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.24084584649, 1.5732764897, 0.0053819903881, 2.2812280547623853e-06, 4.28513959763859, 0.0205809328405, 0.253278465321, 0.696310456967, 1.61739776309, 5.60783020423
beta, 1.74650241657, 1.29609551087, 0.00323472324098, 5.387814132351565e-05, 4.265608497973637, 0.132169439568, 0.802516297506, 1.44892131799, 2.37433491328, 5.02774380861
mu, 0.245778786676, 0.142611757008, 0.00027402404362, 0.022910392432028193, 0.5247612305538668, 0.0495270968387, 0.14089023702, 0.218949005117, 0.321457061366, 0.592705979286
