Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.13486687742, 1.16360203352, 0.00499826602617, 0.0001887937710941534, 3.374510492240111, 0.0670178361708, 0.370177706624, 0.777379325657, 1.49240477635, 4.29402704025
beta, 2.8776483349, 1.75852320422, 0.00737177984952, 0.130703456197691, 6.245145946619574, 0.383113985917, 1.60106423349, 2.56945098821, 3.81924700786, 7.12713070049
mu, 0.00674940424118, 0.00276525249502, 7.6783263366e-06, 0.0019383585039313561, 0.012197807200294418, 0.00245910374997, 0.00473222531115, 0.00637737928114, 0.00836198289464, 0.0131404609588
