Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.1371187213, 1.16084995508, 0.00667326651092, 0.00020799449230843314, 3.3669638578651164, 0.066435023207, 0.375355366324, 0.781401950112, 1.49134737985, 4.29734439163
beta, 2.87505055883, 1.7528750811, 0.0105980481382, 0.13296779162046723, 6.2504530568063235, 0.379995750922, 1.60315461771, 2.57130645684, 3.814955812, 7.10909601553
mu, 0.00674832843873, 0.00276332633558, 1.25107632562e-05, 0.0019482753542014507, 0.012192225650029347, 0.00246999815887, 0.00473949769471, 0.00637981896524, 0.00835504828849, 0.0131753947176
