Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.13569096445, 1.1659601673, 0.00301532592016, 0.0001887937710941534, 3.383063264928531, 0.0667880672906, 0.368553639195, 0.777132213547, 1.49423395663, 4.30724367334
beta, 2.87933066975, 1.76123790795, 0.0051226695796, 0.11655126473996091, 6.248586481796062, 0.376512260147, 1.60033991178, 2.57220280621, 3.8234976635, 7.13229333937
mu, 0.00674501261127, 0.00276381727102, 6.09799844847e-06, 0.0019421083281740675, 0.01221363734415595, 0.00246392374032, 0.00472789989722, 0.00637258386939, 0.00835583961871, 0.0131252650484
