Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.971088434734, 1.36642030342, 0.0114559840278, 8.732116777654397e-06, 3.4930075120325923, 0.0138852160315, 0.172303694738, 0.496161175101, 1.21973969396, 4.72781245366
beta, 1.96500760469, 1.38910434002, 0.00861236155676, 0.031388361772196616, 4.675355386949932, 0.236519919597, 0.941475996188, 1.65188628694, 2.64576961887, 5.49179431433
mu, 0.00268915024676, 0.00134736624091, 5.69157835947e-06, 0.0004884923870753879, 0.005342210160728896, 0.000735682049556, 0.00169819967182, 0.00246080872834, 0.00343843577053, 0.00590754870711
