Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.971040172123, 1.35646630594, 0.00618812944849, 8.732116777654397e-06, 3.485958947032837, 0.0129570743664, 0.174936216773, 0.500207004656, 1.21959821325, 4.6881479032
beta, 1.97863377178, 1.40111962986, 0.00534498428532, 0.030131323263001053, 4.713752554947644, 0.241070082846, 0.949588387132, 1.65833193721, 2.66427832789, 5.53348857829
mu, 0.00268568182156, 0.00134072823209, 3.26662150204e-06, 0.00048682723258742806, 0.005330625445531985, 0.000740220440078, 0.00170374647827, 0.00246179828584, 0.00342993885287, 0.00587762930704
