Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.323193138328, 0.465817899374, 0.00168695117411, 3.207948578998199e-08, 1.1681537671034636, 0.00420468430755, 0.0572548643085, 0.164645714559, 0.40104721724, 1.58634715587
beta, 1.95888041271, 1.41831586327, 0.00415341780333, 0.004945804846596236, 4.713287687064711, 0.15721539626, 0.921181703856, 1.64423328941, 2.65753764321, 5.53363525241
mu, 0.00682706109211, 0.00241978621904, 4.79448187381e-06, 0.002552216820608769, 0.011685469412696898, 0.00292534704784, 0.00508166559602, 0.00654967408215, 0.00827245550522, 0.0123073684967
