Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.319574434215, 0.451715181583, 0.00228394083948, 3.207948578998199e-08, 1.1544082025342357, 0.00417516325566, 0.0569117101061, 0.164035171545, 0.399374313493, 1.56018095192
beta, 1.95707834863, 1.4170047148, 0.00626370576319, 0.01635775200212497, 4.7230345997302745, 0.158130746627, 0.922094309358, 1.64121303271, 2.65329255054, 5.54413193749
mu, 0.00683923253292, 0.00242726487727, 7.40975718942e-06, 0.00253717299407682, 0.011699741036025418, 0.00292884621199, 0.00508523067941, 0.00655691935866, 0.0082875657018, 0.0123402533008
