gname,dirname
Gunmen,Gunmen
National Liberation Army of Colombia (ELN),NationalLiberationArmyofColombiaELN
Revolutionary Armed Forces of Colombia (FARC),RevolutionaryArmedForcesofColombiaFARC
United Self Defense Units of Colombia (AUC),UnitedSelfDefenseUnitsofColombiaAUC
Unknown,Unknown
