Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.586006387156, 0.594636534052, 0.00249443975474, 3.810432833123434e-06, 1.7524551486004136, 0.0150970215404, 0.169702182456, 0.405974651427, 0.805583993547, 2.18409823548
beta, 1.13276394954, 1.09781888811, 0.00386380638403, 1.0107493072952778e-05, 3.335395810104248, 0.0295130540047, 0.335856987287, 0.806417033772, 1.58318772774, 4.04833004007
mu, 0.948231438455, 0.575172044121, 0.00174035358691, 0.05972323544398883, 2.0664486795208954, 0.166346184721, 0.525333451663, 0.83782251996, 1.24987408955, 2.36047522847
