Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.446689056498, 0.433381795521, 0.0024363482509, 1.2989567294802856e-05, 1.3043375724145816, 0.0122400270806, 0.133615603751, 0.317052450162, 0.624954842965, 1.5931839759
beta, 0.975804683929, 0.995867684227, 0.00552363841576, 2.3978478525227276e-05, 2.9713781369921404, 0.0249296730788, 0.270391211667, 0.662821592726, 1.34873618521, 3.69073901707
mu, 0.929885894733, 0.572091011386, 0.00230120259029, 0.044719548569111645, 2.0392601187360095, 0.152989901412, 0.508094667943, 0.821015498892, 1.23230309432, 2.33501659389
