Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.93067134609, 2.37376823483, 0.00711276321287, 0.09423802624187072, 7.56685644328983, 0.36756270346, 1.29118047571, 2.28517621122, 3.85487606386, 9.20616612084
beta, 3.97203700441, 1.98948896437, 0.00563172957058, 0.6793033473581831, 7.866389421487126, 1.08021556331, 2.5184301665, 3.64438906529, 5.07531958961, 8.7180139015
mu, 0.00559966260389, 0.00280214120135, 6.84551218475e-06, 0.001014267961450281, 0.011167434379181848, 0.0015110152513, 0.00354513206639, 0.0051408073744, 0.00715542660905, 0.0122652343822
