Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.93984400311, 2.38070331003, 0.0186573508544, 0.06490770323014206, 7.599744809431016, 0.366340419537, 1.30170432567, 2.27334982408, 3.85332468809, 9.33299331314
beta, 3.97310615299, 1.99257380014, 0.0173904854185, 0.6798959863321778, 7.906372800448491, 1.08112912246, 2.51950170024, 3.64452726976, 5.06874720601, 8.73432950299
mu, 0.00560656757299, 0.00278863079167, 1.6291419032e-05, 0.0009400206445068415, 0.011073263439612492, 0.00149118181833, 0.00354150471923, 0.00515533421114, 0.00718175326527, 0.0121995308844
