Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.92613185875, 2.36615496708, 0.00694474027141, 0.09427473146068976, 7.546224926718007, 0.368055457285, 1.2901711067, 2.28446532831, 3.85141282123, 9.16556351367
beta, 3.96848524244, 1.98620361115, 0.0055387162536, 0.6828699945982285, 7.860340270246134, 1.07980186839, 2.5165182457, 3.64207558999, 5.07235446188, 8.69798335583
mu, 0.00560259839407, 0.002802171846, 6.12801868246e-06, 0.0010094932304196905, 0.011158499705558277, 0.00151374846752, 0.00354567591061, 0.00514477997566, 0.00715912448845, 0.0122583659745
