Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.93839101815, 2.36989281834, 0.0112918014454, 0.11087201053196027, 7.59857049403654, 0.367369117049, 1.29369564344, 2.28704258549, 3.8697799294, 9.23722883372
beta, 3.96804764659, 1.98708309568, 0.00974435514841, 0.6805734393842686, 7.866555369500054, 1.07990315289, 2.515462452, 3.63864976737, 5.07240570602, 8.71562780325
mu, 0.00559817013318, 0.00280373871179, 9.33716001211e-06, 0.0009875361808895679, 0.011146746604110995, 0.00150542033942, 0.00354490371185, 0.00513919760955, 0.00715326737712, 0.0122740232223
