Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.92495990138, 2.36209237801, 0.0102399310923, 0.09475393524490944, 7.549051916369908, 0.366378854155, 1.28852259302, 2.27790895578, 3.84746161102, 9.20060269047
beta, 3.9640288513, 1.98554910547, 0.00855360604957, 0.6789986203901361, 7.858794360502941, 1.0800112118, 2.51455887629, 3.63437866663, 5.06609564606, 8.71608378815
mu, 0.00559649849608, 0.00279752701697, 9.17497254828e-06, 0.000987355164477682, 0.011148497984641337, 0.00150493141707, 0.00354848305359, 0.00514280756556, 0.00714822937089, 0.0122573174074
