Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.5873526029, 0.716981904193, 0.00254362631481, 0.3975520451949401, 3.0161566030181595, 0.534776991732, 1.07012458639, 1.47108234078, 1.97627693403, 3.30110147023
beta, 11.3917381991, 3.6256095394, 0.0120120111188, 4.553186973754591, 18.78294563743941, 4.87044290787, 8.88346511067, 11.1451279031, 13.6346189515, 19.1850260279
mu, 0.0382266539509, 0.00462347227184, 9.27618999518e-06, 0.029289625016492106, 0.04728571021065211, 0.0297322287341, 0.0350032130073, 0.0380388139631, 0.0412322331396, 0.0477858471224
