Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.58788354382, 0.717168223764, 0.00185495660437, 0.39699382625361734, 3.0187068719594032, 0.535464115212, 1.07170062743, 1.47206495184, 1.97554079538, 3.30114659014
beta, 11.393172387, 3.62713240688, 0.00948399603063, 4.552633595154861, 18.78027181467399, 4.88021869806, 8.8856888298, 11.1434183077, 13.6363611918, 19.1905728283
mu, 0.0382286972396, 0.00461650155308, 8.41644328771e-06, 0.029295991216930203, 0.04728073398036963, 0.0297356469781, 0.0350086529254, 0.0380450843127, 0.0412300297653, 0.0477765233482
