Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.123006844084, 0.173313773579, 0.00061163399375, 5.604437792322559e-07, 0.4349970758585589, 0.00213281408837, 0.0248798469172, 0.0650220326898, 0.150574083615, 0.59332252749
beta, 1.69660254268, 1.40481265174, 0.00380221098033, 2.933595480758555e-05, 4.45024891290014, 0.103185552677, 0.641208915571, 1.34328860176, 2.36686166084, 5.29550397298
mu, 0.0552070856552, 0.0139314350926, 2.68236296174e-05, 0.029338578330205242, 0.08319267996422951, 0.0309333722233, 0.045393671279, 0.0541846069118, 0.0638990038134, 0.0853714730741
