Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 4.93229099497, 1.40263330393, 0.012419115323, 2.4315502531064417, 7.778136951099407, 2.64778446569, 3.9264544279, 4.77634035622, 5.75381945383, 8.10448003808
beta, 24.7272496229, 4.91113342292, 0.0439737185425, 15.5605956695508, 34.670220352376546, 16.018971381, 21.3026465076, 24.4313425725, 27.7975042046, 35.2552203157
mu, 0.114505241192, 0.011544828515, 7.32540856014e-05, 0.09181705730632884, 0.13674039419508005, 0.0928033247772, 0.106539338483, 0.114248747107, 0.122145540267, 0.137908441468
