Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 4.93630404519, 1.41624271161, 0.00388401306495, 2.368270133793661, 7.739746753795949, 2.63307662796, 3.92242841272, 4.77388206606, 5.776658576, 8.13695332281
beta, 24.7402926503, 4.94211933142, 0.0132036908819, 15.361034731320233, 34.51840143479008, 15.9885346231, 21.2649554922, 24.4125862046, 27.8679058723, 35.2958944502
mu, 0.114345612908, 0.0115816260756, 2.5045746294e-05, 0.09190923011445079, 0.13716617959464414, 0.0927173699685, 0.106366127842, 0.113984228408, 0.121937043118, 0.138133792921
