"BehaviorSpace results (NetLogo 6.0.4)"
"terror.nlogo"
"experiment"
"07/30/2018 12:19:20:446 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","input-folder","alpha","beta","output-folder","omega","[step]"
"120","Iraq","0.7","6","20180727A","0.1","1826"
"114","Iraq","1","5.5","20180727A","0.1","1826"
"121","Iraq","0.8","6","20180727A","0.1","1826"
"122","Iraq","0.9","6","20180727A","0.1","1826"
"126","Iraq","1.3","6","20180727A","0.1","125"
"127","Iraq","0.5","6.5","20180727A","0.1","1826"
"123","Iraq","1","6","20180727A","0.1","1826"
"128","Iraq","0.6","6.5","20180727A","0.1","1826"
"125","Iraq","1.2","6","20180727A","0.1","1267"
"124","Iraq","1.1","6","20180727A","0.1","1826"
"129","Iraq","0.7","6.5","20180727A","0.1","1826"
"130","Iraq","0.8","6.5","20180727A","0.1","1826"
"131","Iraq","0.9","6.5","20180727A","0.1","1826"
"132","Iraq","1","6.5","20180727A","0.1","1826"
"135","Iraq","1.3","6.5","20180727A","0.1","612"
"136","Iraq","0.5","7","20180727A","0.1","1826"
"137","Iraq","0.6","7","20180727A","0.1","1826"
"133","Iraq","1.1","6.5","20180727A","0.1","1826"
"138","Iraq","0.7","7","20180727A","0.1","1826"
"141","Iraq","1","7","20180727A","0.1","384"
"139","Iraq","0.8","7","20180727A","0.1","1826"
"134","Iraq","1.2","6.5","20180727A","0.1","1826"
"140","Iraq","0.9","7","20180727A","0.1","1826"
"145","Iraq","0.5","7.5","20180727A","0.1","1826"
"146","Iraq","0.6","7.5","20180727A","0.1","1826"
"143","Iraq","1.2","7","20180727A","0.1","1826"
"144","Iraq","1.3","7","20180727A","0.1","1551"
"142","Iraq","1.1","7","20180727A","0.1","1826"
"147","Iraq","0.7","7.5","20180727A","0.1","1826"
"151","Iraq","1.1","7.5","20180727A","0.1","974"
"148","Iraq","0.8","7.5","20180727A","0.1","1826"
"153","Iraq","1.3","7.5","20180727A","0.1","113"
"150","Iraq","1","7.5","20180727A","0.1","1826"
"149","Iraq","0.9","7.5","20180727A","0.1","1826"
"154","Iraq","0.5","8","20180727A","0.1","1826"
"155","Iraq","0.6","8","20180727A","0.1","1826"
"156","Iraq","0.7","8","20180727A","0.1","1826"
"157","Iraq","0.8","8","20180727A","0.1","1826"
"152","Iraq","1.2","7.5","20180727A","0.1","1826"
"158","Iraq","0.9","8","20180727A","0.1","1826"
"159","Iraq","1","8","20180727A","0.1","1826"
"163","Iraq","0.5","8.5","20180727A","0.1","1826"
"160","Iraq","1.1","8","20180727A","0.1","1826"
"164","Iraq","0.6","8.5","20180727A","0.1","1826"
"165","Iraq","0.7","8.5","20180727A","0.1","1826"
"161","Iraq","1.2","8","20180727A","0.1","1826"
"166","Iraq","0.8","8.5","20180727A","0.1","1826"
"162","Iraq","1.3","8","20180727A","0.1","1826"
"167","Iraq","0.9","8.5","20180727A","0.1","1826"
"168","Iraq","1","8.5","20180727A","0.1","1826"
"170","Iraq","1.2","8.5","20180727A","0.1","1170"
"171","Iraq","1.3","8.5","20180727A","0.1","1219"
"169","Iraq","1.1","8.5","20180727A","0.1","1826"
"172","Iraq","0.5","9","20180727A","0.1","1826"
"173","Iraq","0.6","9","20180727A","0.1","1826"
"174","Iraq","0.7","9","20180727A","0.1","1826"
"175","Iraq","0.8","9","20180727A","0.1","1826"
"176","Iraq","0.9","9","20180727A","0.1","1826"
"180","Iraq","1.3","9","20180727A","0.1","196"
"181","Iraq","0.5","9.5","20180727A","0.1","1826"
"177","Iraq","1","9","20180727A","0.1","1826"
"182","Iraq","0.6","9.5","20180727A","0.1","1826"
"183","Iraq","0.7","9.5","20180727A","0.1","1826"
"178","Iraq","1.1","9","20180727A","0.1","1826"
"179","Iraq","1.2","9","20180727A","0.1","1826"
"184","Iraq","0.8","9.5","20180727A","0.1","1826"
"185","Iraq","0.9","9.5","20180727A","0.1","1826"
"189","Iraq","1.3","9.5","20180727A","0.1","271"
"186","Iraq","1","9.5","20180727A","0.1","1826"
"190","Iraq","0.5","10","20180727A","0.1","1826"
"187","Iraq","1.1","9.5","20180727A","0.1","1826"
"191","Iraq","0.6","10","20180727A","0.1","1826"
"192","Iraq","0.7","10","20180727A","0.1","1826"
"188","Iraq","1.2","9.5","20180727A","0.1","1826"
"193","Iraq","0.8","10","20180727A","0.1","1826"
"194","Iraq","0.9","10","20180727A","0.1","1826"
"198","Iraq","1.3","10","20180727A","0.1","438"
"199","Iraq","0.5","5","20180727A","1","4"
"200","Iraq","0.6","5","20180727A","1","10"
"201","Iraq","0.7","5","20180727A","1","1"
"202","Iraq","0.8","5","20180727A","1","25"
"195","Iraq","1","10","20180727A","0.1","1826"
"203","Iraq","0.9","5","20180727A","1","8"
"196","Iraq","1.1","10","20180727A","0.1","1826"
"206","Iraq","1.2","5","20180727A","1","6"
"197","Iraq","1.2","10","20180727A","0.1","1826"
"208","Iraq","0.5","5.5","20180727A","1","18"
"209","Iraq","0.6","5.5","20180727A","1","9"
"210","Iraq","0.7","5.5","20180727A","1","14"
"211","Iraq","0.8","5.5","20180727A","1","8"
"212","Iraq","0.9","5.5","20180727A","1","10"
"213","Iraq","1","5.5","20180727A","1","3"
