Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.96571961419, 0.989867279305, 0.00303619701005, 1.636277721095425e-07, 2.8683377430535066, 0.051977925319, 0.317315798228, 0.663546373952, 1.26928114385, 3.65269199497
beta, 1.54299353685, 0.934055309633, 0.00260552646999, 0.14145967263599363, 3.361846131037532, 0.304130793654, 0.869977898269, 1.35723149749, 2.0083575352, 3.84468156431
mu, 0.00782925251189, 0.00391849570388, 9.38166590577e-06, 0.0013686009062829421, 0.015525005050364235, 0.00212948187918, 0.00496016332689, 0.00718286704033, 0.0100051784679, 0.0171713693392
