Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.968481181117, 0.99391215854, 0.00450041303013, 1.3363131842816789e-05, 2.8888442901037568, 0.0509857757964, 0.316123177056, 0.665711138074, 1.27361079678, 3.67976235511
beta, 1.54592874705, 0.936236917942, 0.00451703185673, 0.13240314669046477, 3.3549683761984253, 0.304479656646, 0.872451167927, 1.35997909134, 2.01104053066, 3.84778995042
mu, 0.00782861176632, 0.0039158172395, 1.31978267804e-05, 0.001436830162867147, 0.015587621048566414, 0.00213228610862, 0.0049422710504, 0.0071970063546, 0.0100022609139, 0.0171726932766
