Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.967551848432, 0.991510552958, 0.00332724752821, 1.3363131842816789e-05, 2.878619248243478, 0.0514081794343, 0.31757746697, 0.664942261062, 1.2710923839, 3.66881755785
beta, 1.54503368369, 0.936054203363, 0.00349767316904, 0.12833372185329392, 3.356683512656031, 0.304216716159, 0.871236090858, 1.35851725924, 2.01017415464, 3.85517798053
mu, 0.00783265448816, 0.00391800797401, 1.06305488646e-05, 0.0013743898453589445, 0.015525005050364235, 0.00213609329234, 0.00496061552101, 0.00719012038415, 0.0100060573283, 0.0171714666337
