Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.291661268252, 0.243781026019, 0.00101273972652, 4.699106770866823e-06, 0.7493570891563635, 0.0384561307267, 0.132983803131, 0.225589724398, 0.37303647853, 0.944338673029
beta, 0.649932649025, 0.558456524304, 0.00353206440559, 0.06652667405215248, 1.6516965608208833, 0.134725452679, 0.307056617165, 0.486748916918, 0.813571269277, 2.03590027857
mu, 0.0143971759881, 0.00610357864409, 2.09822938762e-05, 0.0036669434929505404, 0.026321951486453, 0.00488280600173, 0.00994452194657, 0.0135909637115, 0.0180038592683, 0.0284343186147
