Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.291949468878, 0.243238435822, 0.000919186811478, 0.0003541660716402939, 0.7515974698623532, 0.0380647923622, 0.132879629208, 0.22593778712, 0.374252780194, 0.943140283635
beta, 0.651187497111, 0.557036973813, 0.00297881946272, 0.06652667405215248, 1.6515490973523146, 0.133669640227, 0.307117600921, 0.488141152944, 0.816167758957, 2.04173233703
mu, 0.0143999963432, 0.00609911730967, 1.93817535371e-05, 0.0036676657212683407, 0.026325411243354857, 0.00488421439694, 0.00995403782709, 0.0135964037089, 0.0179986931798, 0.0284549070579
