Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 140.71873254, 9.0891867525, 0.0306135935526, 123.36260588672064, 158.95844506908412, 123.557770203, 134.477081616, 140.491727357, 146.701106899, 159.195044637
beta, 343.959228811, 17.1613587169, 0.0552004469768, 310.5486386542695, 377.7027514036806, 311.200494043, 332.223440735, 343.685525693, 355.351828544, 378.441501587
mu, 0.246385859994, 0.0118104032077, 2.86985657075e-05, 0.22302414175801896, 0.26938567621942994, 0.223717191966, 0.238386870096, 0.246213292759, 0.254245503137, 0.270117768581
