Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 140.741881238, 9.10426562778, 0.0392327093428, 123.31213360626498, 158.9701013992896, 123.572541452, 134.489578688, 140.495326842, 146.725397008, 159.290808844
beta, 343.963613087, 17.163443773, 0.0750668924845, 310.53270386879393, 377.64519516427447, 311.191636946, 332.218737913, 343.700302227, 355.333204859, 378.384736129
mu, 0.246368511843, 0.011809009168, 3.89874985704e-05, 0.22310184417537876, 0.2694134168859516, 0.223709095513, 0.238382355816, 0.246187303371, 0.254220072288, 0.27005338262
