Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 140.715839107, 9.09503085333, 0.0249840071156, 123.18553236021663, 158.77708616693076, 123.568524143, 134.462812298, 140.470490427, 146.702948312, 159.214506979
beta, 343.956418482, 17.1718975031, 0.0454510433604, 310.531099116601, 377.7516755071084, 311.2002228, 332.212701329, 343.661670561, 355.380957019, 378.500807336
mu, 0.246378335031, 0.0118387631481, 2.44185755641e-05, 0.22353505895088338, 0.26996860267010797, 0.223681354291, 0.238330961964, 0.246190984281, 0.254251700435, 0.270146580318
