Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.867688905529, 1.12788788306, 0.00360296978555, 7.766846100709657e-06, 2.906009807932482, 0.0198432991815, 0.207308785488, 0.505289138916, 1.08740671293, 3.92943343328
beta, 1.49799992181, 1.28255770276, 0.00363058349835, 0.040879734067552784, 4.1200794554002504, 0.186501561486, 0.607129235355, 1.08658234341, 1.99333443268, 4.95130800325
mu, 0.0295497247189, 0.0160711402274, 3.24199879516e-05, 0.0038257632462083144, 0.06121156880759427, 0.00663911940265, 0.0177353023317, 0.0267689140242, 0.0383925728144, 0.0680722282884
