Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 0.86788565372, 1.1320586169, 0.00356308029237, 1.9074086153342273e-05, 2.906964696379659, 0.0196976192726, 0.207159214064, 0.504418142436, 1.08664732962, 3.93783927905
beta, 1.49716184794, 1.2818307588, 0.00333059186214, 0.040879734067552784, 4.1187354419046605, 0.186312040041, 0.607229894375, 1.08579124903, 1.99182532019, 4.95143103355
mu, 0.0295424522456, 0.0160688686513, 3.16259637067e-05, 0.0038173664807657284, 0.061213625413086496, 0.00663570352106, 0.0177254855979, 0.0267701399902, 0.0383917129362, 0.0681093781114
