Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.46156647127, 1.74252432162, 0.00853902480847, 0.15377024223801505, 5.833467208037989, 0.431382097488, 1.24739217096, 2.02961195693, 3.19375964432, 6.94785434201
beta, 4.96317948372, 2.2206594387, 0.0118590392657, 1.1981774453604404, 9.357485528964775, 1.61718394777, 3.34529225238, 4.63222210395, 6.22700884711, 10.1881975526
mu, 0.00538475149544, 0.002029632873, 6.68285299453e-06, 0.0018499907234460918, 0.009441740201679573, 0.0021721745807, 0.00391783653826, 0.00513064230769, 0.00657677560956, 0.010042881464
