Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 2.4567648154, 1.73622367241, 0.0106711140491, 0.15979529327761055, 5.860109079219923, 0.420712793744, 1.24443306585, 2.02677841316, 3.18688659441, 6.95711619936
beta, 4.96334255825, 2.21570100798, 0.0146229790344, 1.1553524410170612, 9.3087899444866, 1.60240717785, 3.35141127062, 4.63388302242, 6.23284967501, 10.1597142272
mu, 0.0053824162554, 0.00203000980408, 8.05190319718e-06, 0.0018517103867085674, 0.009427295805420384, 0.00217533611249, 0.00391239618195, 0.00513064230769, 0.00656846223247, 0.0100263301934
