run,alpha,beta,omega,country,pfrac
592688,0.150000,8.000000,0.400000,Afghanistan,0.568000
666560,0.150000,8.000000,0.500000,Afghanistan,0.568667
1008920,0.150000,8.000000,0.600000,Afghanistan,0.568000
436520,0.150000,8.000000,0.700000,Afghanistan,0.566667
529400,0.150000,8.000000,0.800000,Afghanistan,0.579333
852752,0.150000,8.000000,0.900000,Afghanistan,0.571333
957512,0.150000,8.000000,1.000000,Afghanistan,0.552667
926642,0.050000,4.000000,0.000000,Afghanistan,0.564000
301970,0.050000,4.000000,0.100000,Afghanistan,0.567333
677594,0.050000,4.000000,0.200000,Afghanistan,0.566000
770474,0.050000,4.000000,0.300000,Afghanistan,0.560000
198074,0.050000,4.000000,0.400000,Afghanistan,0.568667
1186706,0.050000,4.000000,0.500000,Afghanistan,0.576000
614306,0.050000,4.000000,0.600000,Afghanistan,0.573333
41906,0.050000,4.000000,0.700000,Afghanistan,0.578667
1082810,0.050000,4.000000,0.800000,Afghanistan,0.562667
980858,0.050000,4.000000,0.900000,Afghanistan,0.564000
111458,0.050000,4.000000,1.000000,Afghanistan,0.567333
140210,0.050000,4.500000,0.000000,Afghanistan,0.564000
1181114,0.050000,4.500000,0.100000,Afghanistan,0.572667
143018,0.050000,4.500000,0.200000,Afghanistan,0.572667
668330,0.050000,4.500000,0.300000,Afghanistan,0.564667
1024946,0.050000,4.500000,0.400000,Afghanistan,0.568667
1136834,0.050000,4.500000,0.500000,Afghanistan,0.573333
419498,0.050000,4.500000,0.600000,Afghanistan,0.565333
868778,0.050000,4.500000,0.700000,Afghanistan,0.569333
244106,0.050000,4.500000,0.800000,Afghanistan,0.577333
626858,0.050000,4.500000,0.900000,Afghanistan,0.562000
712610,0.050000,4.500000,1.000000,Afghanistan,0.570000
967082,0.050000,5.000000,0.000000,Afghanistan,0.580000
394682,0.050000,5.000000,0.100000,Afghanistan,0.580667
116906,0.050000,5.000000,0.200000,Afghanistan,0.567333
810914,0.050000,5.000000,0.300000,Afghanistan,0.569333
238514,0.050000,5.000000,0.400000,Afghanistan,0.574000
20138,0.050000,5.000000,0.500000,Afghanistan,0.574667
241322,0.050000,5.000000,0.600000,Afghanistan,0.580000
82346,0.050000,5.000000,0.700000,Afghanistan,0.562000
1123250,0.050000,5.000000,0.800000,Afghanistan,0.582000
498578,0.050000,5.000000,0.900000,Afghanistan,0.556667
997754,0.050000,5.000000,1.000000,Afghanistan,0.571333
180650,0.050000,5.500000,0.000000,Afghanistan,0.567333
701210,0.050000,5.500000,0.100000,Afghanistan,0.578667
596882,0.050000,5.500000,0.200000,Afghanistan,0.572667
24482,0.050000,5.500000,0.300000,Afghanistan,0.570667
1065386,0.050000,5.500000,0.400000,Afghanistan,0.575333
492986,0.050000,5.500000,0.500000,Afghanistan,0.566667
519338,0.050000,5.500000,0.600000,Afghanistan,0.572667
909218,0.050000,5.500000,0.700000,Afghanistan,0.576000
336818,0.050000,5.500000,0.800000,Afghanistan,0.563333
