Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.55782878735, 2.06444029411, 0.0218013815145, 0.00020143520370474732, 5.499571202376438, 0.0258405910453, 0.306520340241, 0.847298118831, 1.98571048602, 7.09695326565
beta, 1.86223889146, 1.33508859905, 0.00991293409373, 0.018368933381166297, 4.477207116240185, 0.215364906774, 0.885670751898, 1.55181228772, 2.50260407403, 5.23768453053
mu, 0.0934881881827, 0.0537503600482, 0.000356822780631, 0.009703971499781139, 0.1992033806821735, 0.0190316770727, 0.0537007338521, 0.0832528757097, 0.122641458125, 0.224717639439
