Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
alpha, 1.58194512304, 2.10674373658, 0.0117630820478, 2.3327862548883083e-05, 5.5761899787096425, 0.0235604144114, 0.30634435441, 0.859347844982, 2.01710319411, 7.36777328139
beta, 1.87716395878, 1.34245434925, 0.00505436596343, 7.610145395853252e-05, 4.49228370379025, 0.209305430113, 0.895789686883, 1.56948085853, 2.52795218959, 5.2716777411
mu, 0.0932599215814, 0.0537015122392, 0.000157134804323, 0.00912322902135694, 0.19830571836325211, 0.0191352091347, 0.0535188088364, 0.0830687161099, 0.12210615834, 0.22435551231
