Takfir wal-Hijra (Excommunication and Exodus),Mahdi Army,0.01623975900585831
Takfir wal-Hijra (Excommunication and Exodus),1920 Revolution Brigades,0.01583650364034856
Takfir wal-Hijra (Excommunication and Exodus),Omar Bin Khattab Group,0.015739249355240303
Takfir wal-Hijra (Excommunication and Exodus),Mujahedeen Brigades,0.01677356440194045
Takfir wal-Hijra (Excommunication and Exodus),Mujahedeen Shura Council,0.01648814090356458
Takfir wal-Hijra (Excommunication and Exodus),Junaid Jihadist Battalion,0.015135968462504003
Takfir wal-Hijra (Excommunication and Exodus),Jaish al-Ta'ifa al-Mansura,0.01536027421837163
Takfir wal-Hijra (Excommunication and Exodus),Mujahedeen Army,0.015801420023735385
Takfir wal-Hijra (Excommunication and Exodus),Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),0.013645900115052165
Takfir wal-Hijra (Excommunication and Exodus),Ansar al-Din,0.015762888527714417
Takfir wal-Hijra (Excommunication and Exodus),Holders of the Black Banners,0.017269499864290314
Takfir wal-Hijra (Excommunication and Exodus),Mujahedeen Corps in Iraq,0.018663660366708835
Takfir wal-Hijra (Excommunication and Exodus),Supreme Council for Islamic Revolution in Iraq (SCIRI),0.015549320218030979
Takfir wal-Hijra (Excommunication and Exodus),Armed Vanguards of a Second Mohammed Army,0.016722334354885075
Takfir wal-Hijra (Excommunication and Exodus),Imam Hussein Brigade,0.01446832102848888
Takfir wal-Hijra (Excommunication and Exodus),Khalid ibn Walid Brigade,0.019973366863590428
Takfir wal-Hijra (Excommunication and Exodus),Badr Brigades,0.014128694107367208
Liberals of Galilee,Liberals of Galilee,0.015669377271642384
Liberals of Galilee,Ansar al-Islam,0.013346754855711903
Liberals of Galilee,AQI,0.017871863859577928
Liberals of Galilee,Ansar al-Jihad,0.0159699082122
Liberals of Galilee,Brigades of Iman Hassan-al-Basri,0.0186702574802255
Liberals of Galilee,Protectors of Islam Brigade,0.014034969516857173
Liberals of Galilee,Mujahedeen Group,0.014576425626602761
Liberals of Galilee,Ansar al-Sunna,0.013220913102654563
Liberals of Galilee,Islamic Jihad Brigades,0.013212217410344713
Liberals of Galilee,Islamic Movement of Iraqi Mujahidin,0.014292647615151212
Liberals of Galilee,Mahdi Army,0.017415554871773407
Liberals of Galilee,1920 Revolution Brigades,0.016258385739316157
Liberals of Galilee,Omar Bin Khattab Group,0.015594017082442322
Liberals of Galilee,Mujahedeen Brigades,0.012885876586644723
Liberals of Galilee,Mujahedeen Shura Council,0.014096121920740914
Liberals of Galilee,Junaid Jihadist Battalion,0.014390657077389494
Liberals of Galilee,Jaish al-Ta'ifa al-Mansura,0.01646228035774875
Liberals of Galilee,Mujahedeen Army,0.017147091933537473
Liberals of Galilee,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),0.01371008362821982
Liberals of Galilee,Ansar al-Din,0.01512377649539998
Liberals of Galilee,Holders of the Black Banners,0.012740447493826003
Liberals of Galilee,Mujahedeen Corps in Iraq,0.017258913748162998
Liberals of Galilee,Supreme Council for Islamic Revolution in Iraq (SCIRI),0.01336317297840623
Liberals of Galilee,Armed Vanguards of a Second Mohammed Army,0.014091488753590762
Liberals of Galilee,Imam Hussein Brigade,0.013981944879355168
Liberals of Galilee,Khalid ibn Walid Brigade,0.016493612571688007
Liberals of Galilee,Badr Brigades,0.01525930458199838
Ansar al-Islam,Ansar al-Islam,0.012640373682115992
Ansar al-Islam,AQI,0.0003010717633281274
Ansar al-Islam,Ansar al-Jihad,0.015189786933077135
Ansar al-Islam,Brigades of Iman Hassan-al-Basri,0.013510790249006036
Ansar al-Islam,Protectors of Islam Brigade,0.01457086333851779
Ansar al-Islam,Mujahedeen Group,0.01586608463824008
Ansar al-Islam,Ansar al-Sunna,0.004606651630383087
Ansar al-Islam,Islamic Jihad Brigades,0.015884738266532212
Ansar al-Islam,Islamic Movement of Iraqi Mujahidin,0.01587779885890085
Ansar al-Islam,Mahdi Army,0.013743583744463623
Ansar al-Islam,1920 Revolution Brigades,0.014428472394907422
Ansar al-Islam,Omar Bin Khattab Group,0.017723607152540788
Ansar al-Islam,Mujahedeen Brigades,0.015330253542464093
Ansar al-Islam,Mujahedeen Shura Council,0.012537649432105839
Ansar al-Islam,Junaid Jihadist Battalion,0.016849539286571895
Ansar al-Islam,Jaish al-Ta'ifa al-Mansura,0.012456714012643045
Ansar al-Islam,Mujahedeen Army,0.014603880866901259
Ansar al-Islam,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),0.01087423323868685
Ansar al-Islam,Ansar al-Din,0.015270804420410459
Ansar al-Islam,Holders of the Black Banners,0.013240790266776832
Ansar al-Islam,Mujahedeen Corps in Iraq,0.018106232798244793
Ansar al-Islam,Supreme Council for Islamic Revolution in Iraq (SCIRI),0.014608444460842942
Ansar al-Islam,Armed Vanguards of a Second Mohammed Army,0.017935531998448263
Ansar al-Islam,Imam Hussein Brigade,0.012438593879561555
Ansar al-Islam,Khalid ibn Walid Brigade,0.015643801814108065
Ansar al-Islam,Badr Brigades,0.012300060097369187
AQI,AQI,0.0005693789516670891
AQI,Ansar al-Jihad,0.017822419694557726
AQI,Brigades of Iman Hassan-al-Basri,0.013943199772549299
AQI,Protectors of Islam Brigade,0.00022700926624017752
AQI,Mujahedeen Group,0.014729530515175964
AQI,Ansar al-Sunna,0.006351625810738569
AQI,Islamic Jihad Brigades,0.017040065155372177
AQI,Islamic Movement of Iraqi Mujahidin,0.017351437092564728
AQI,Mahdi Army,0.014993663759483649
AQI,1920 Revolution Brigades,0.015953571441299327
AQI,Omar Bin Khattab Group,0.8446176037464004
AQI,Mujahedeen Brigades,0.00021335371814769577
AQI,Mujahedeen Shura Council,0.00044481575685583364
AQI,Junaid Jihadist Battalion,0.002521182165870922
AQI,Jaish al-Ta'ifa al-Mansura,0.0006002916142231664
AQI,Mujahedeen Army,0.019907388556108456
AQI,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),0.012626481621175752
AQI,Ansar al-Din,0.017114058837717074
AQI,Holders of the Black Banners,0.016582878873865586
AQI,Mujahedeen Corps in Iraq,0.0016266157113788281
AQI,Supreme Council for Islamic Revolution in Iraq (SCIRI),0.001017462851633985
AQI,Armed Vanguards of a Second Mohammed Army,0.015865286101478845
AQI,Imam Hussein Brigade,0.0003753890001632779
AQI,Khalid ibn Walid Brigade,0.0005880356115849343
AQI,Badr Brigades,0.11385498755309406
Ansar al-Jihad,Ansar al-Jihad,0.01750912191853976
